[2024-09-02 16:21:17,629][main][INFO] - -----------------------------------
[2024-09-02 16:21:17,630][main][INFO] - Processing camera G5Bullet_07 with MAC address F4E2C678CCA0
[2024-09-02 16:21:17,630][main][INFO] - Source directory: /srv/unifi-protect/video/2024/09/02
[2024-09-02 16:21:17,631][main][INFO] - Destination directory: /volume1/videos/G5Bullet_07
[2024-09-02 16:21:17,631][main][INFO] - -----------------------------------
[2024-09-02 16:21:17,675][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725262150052.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725262150052.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_1']' returned non-zero exit status 255.
[2024-09-02 16:21:17,711][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725247786242.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725247786242.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_2']' returned non-zero exit status 255.
[2024-09-02 16:21:17,749][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725250847197.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725250847197.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_3']' returned non-zero exit status 255.
[2024-09-02 16:21:17,788][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725257256600.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725257256600.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_4']' returned non-zero exit status 255.
[2024-09-02 16:21:17,858][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725236440081.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725236440081.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_5']' returned non-zero exit status 255.
[2024-09-02 16:21:17,905][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725242224205.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725242224205.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_6']' returned non-zero exit status 255.
[2024-09-02 16:21:17,936][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725285131198.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725285131198.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_7']' returned non-zero exit status 255.
[2024-09-02 16:21:17,975][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725254044664.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725254044664.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_8']' returned non-zero exit status 255.
[2024-09-02 16:21:18,011][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725229084805.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725229084805.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_9']' returned non-zero exit status 255.
[2024-09-02 16:21:18,098][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725243589871.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725243589871.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_10']' returned non-zero exit status 255.
[2024-09-02 16:21:18,154][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725279598344.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725279598344.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_11']' returned non-zero exit status 255.
[2024-09-02 16:21:18,188][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725237983132.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725237983132.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_12']' returned non-zero exit status 255.
[2024-09-02 16:21:18,214][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725239423158.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725239423158.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_13']' returned non-zero exit status 255.
[2024-09-02 16:21:18,241][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725249296793.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725249296793.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_14']' returned non-zero exit status 255.
[2024-09-02 16:21:18,265][main][ERROR] - Error converting /srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725244975262.ubv: Command '['/usr/share/unifi-protect/app/node_modules/.bin/ubnt_ubvexport', '-s', '/srv/unifi-protect/video/2024/09/02/F4E2C678CCA0_0_rotating_1725244975262.ubv', '-d', '/volume1/videos/G5Bullet_07/G5Bullet_07_F4E2C678CCA0_15']' returned non-zero exit status 255.
